Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;"Состав ";"Материал подкладки";"Страна производства ";"Доступные размеры";"Параметры модели";"Рост модели на фото ";Длина;"Длина рукава";Сезон;Цвет;Узор;Застежка;"Детали одежды";Технологии;"Вид спорта";Высота;"Длина по внутреннему шву";"Длина по боковому шву";"Обхват по талии";"Обхват по бедрам";"Ширина по низу";Посадка;Талия
Женщинам/Платья/Повседневные;"Платье Element";154.00;plate-povsednevnoe-lement;1;;Element;;;;;"Платье Element";"Платье Element, Element, Повседневные";;;;"EL003EWTIA07_4803264_1_v2.jpg, EL003EWTIA07_4803762_6_v1.jpg, EL003EWTIA07_4803763_7_v1.jpg, EL003EWTIA07_4803764_8_v1.jpg";"Хлопок - 100%";;Индия;S;82-59-89;176;"78 см";"15 см";лето;голубой;однотонный;"на пуговицах";;;;;;;;;;;
Женщинам/Платья/Повседневные;"Платье Element";154.00;plate-povsednevno-element;1;;Element;;;;;"Платье Element";"Платье Element, Element, Повседневные";;;;"EL003EWTIA06_4803263_1_v2.jpg, EL003EWTIA06_4803759_6_v1.jpg, EL003EWTIA06_4803760_7_v1.jpg, EL003EWTIA06_4803761_8_v1.jpg";"Хлопок - 100%";;Индия;S;82-59-89;176;"78 см";"15 см";лето;голубой;однотонный;"на пуговицах";;;;;;;;;;;
Женщинам/Платья/Повседневные;"Платье NILLA Mango";94.99;plate-nilla-mango;1;;Mango;;;;;"Платье NILLA Mango";"Платье NILLA Mango, Mango, Повседневные";;;;"MA002EWSYW55_4796670_1_v1.jpg, MA002EWSYW55_4796671_6_v1.jpg, MA002EWSYW55_4796672_7_v1.jpg";"Вискоза - 100%";;Индия;S;82-59-89;176;"83 см";;лето;синий;однотонный;"без застежки";;;;;;;;;;;
Женщинам/Платья/Повседневные;"Платье Element";164.00;plate-povsednevnoe-element;1;;Element;;;;;"Платье Element";"Платье Element, Element, Повседневные";;;;"EL003EWTIA04_4803261_1_v2.jpg, EL003EWTIA04_4803753_6_v1.jpg, EL003EWTIA04_4803754_7_v1.jpg, EL003EWTIA04_4803755_8_v1.jpg";"Вискоза - 100%";;Индия;S;82-59-89;176;"83 см";;лето;синий;цветочный;"на пуговицах";;;;;;;;;;;
Женщинам/Платья/Повседневные;"Платье Element";139.00;plate-element;1;;Element;;;;;"Платье Element";"Платье Element, Element, Повседневные";;;;"EL003EWTIP29_4803306_1_v2.jpg, EL003EWTIP29_4803897_6_v1.jpg, EL003EWTIP29_4803898_7_v1.jpg, EL003EWTIP29_4803899_8_v1.jpg";"Вискоза - 100%";;Индия;S;82-59-89;176;"80 см";"22 см";лето;белый;полоска;"без застежки";;;;;;;;;;;
Женщинам/Платья/Повседневные;"Платье Dea Joop!";719.00;plate-dea-joop;1;;Joop!;;;;;"Платье Dea Joop!";"Платье Dea Joop!, Joop!, Повседневные";;;;"JO006EWRAL51_4803665_1_v2.jpg, JO006EWRAL51_4803950_6_v1.jpg, JO006EWRAL51_4803951_7_v1.jpg, JO006EWRAL51_4803952_8_v1.jpg";"Хлопок - 100%";"Хлопок - 100%";Китай;S;83-61-91;180;"92 см";"23 см";мульти;белый;однотонный;"на молнии";"3D текстура";;;;;;;;;;
Женщинам/Платья/Сарафаны;"Сарафан Tutto Bene";209.00;sarafan-tutto-bene;1;;"Tutto Bene ";;;;;"Сарафан Tutto Bene";"Сарафан Tutto Bene, Tutto Bene, Сарафаны";;;;"TU009EWSID75_4695492_1_v2.jpg, TU009EWSID75_4698638_6_v1.jpg, TU009EWSID75_4698639_7_v1.jpg, TU009EWSID75_4698640_8_v1.jpg";"Хлопок - 98%. Эластан - 2%";;Россия;S;;;;;лето;голубой;полоска;"на пуговицах";плиссе/складки;;;;;;;;;;
Женщинам/Платья/Сарафаны;"Сарафан MadaM T";209.00;plate-sarafan-mint-madam-t;1;;"MadaM T";;;;;"Сарафан MadaM T";"Сарафан MadaM T, MadaM T, Сарафаны";"Платье MadaM T выполнено из струящегося атласного текстиля. Детали: приталенный крой, сзади потайная молния, косточки по бокам.";"<p><span>Платье MadaM T выполнено из струящегося атласного текстиля. Детали: приталенный крой, сзади потайная молния, косточки по бокам.</span></p>";"<p><span>Платье MadaM T выполнено из струящегося атласного текстиля. Детали: приталенный крой, сзади потайная молния, косточки по бокам.</span></p>";"MA422EWTDO48_4778652_1_v2.jpg, MA422EWTDO48_4781703_6_v1 (1).jpg, MA422EWTDO48_4781703_6_v1.jpg, MA422EWTDO48_4781705_8_v1.jpg";"Вискоза - 70%. Полиэстер - 30%";;Россия;S;85-63-90;175;"134 см";;лето;мятный;цветочный;"на молнии";;;;;;;;;;;
Женщинам/Платья/Сарафаны;"Сарафан MadaM T";209.00;plate-sarafan-madam-t;1;;"MadaM T";;;;;"Сарафан MadaM T";"Сарафан MadaM T, MadaM T, Сарафаны";"Сарафан MadaM T ""Зумера"" выполнен из вискозного трикотажа. Детали: отсутствие застежки; декоративное оформление рюшами.";"<p>Сарафан MadaM T ""Зумера"" выполнен из вискозного трикотажа. Детали: отсутствие застежки; декоративное оформление рюшами.</p>";"<p>Сарафан MadaM T ""Зумера"" выполнен из вискозного трикотажа. Детали: отсутствие застежки; декоративное оформление рюшами.</p>";"MA422EWRWY49_4557101_1_v1.jpg, MA422EWRWY49_4559702_6_v1.jpg, MA422EWRWY49_4559703_7_v1.jpg, MA422EWRWY49_4559704_8_v1.jpg";"Вискоза - 95%. Лайкра - 5%";;Россия;S;83-60-89;177;;;лето;зеленый;цветочный;"без застежки";рюши/воланы;;;;;;;;;;
Женщинам/Платья/Сарафаны;"Платье Tutto Bene";244.00;platesarafan--tutto-bene;1;;"Tutto Bene ";;;;;"Платье Tutto Bene";"Платье Tutto Bene, Tutto Bene, Сарафаны";;;;"MI059EWRAQ91_4468496_1_v2.jpg, MI059EWRAQ91_4479414_6_v1.jpg, MI059EWRAQ91_4479415_7_v1.jpg, MI059EWRAQ91_4479416_8_v1.jpg";"Хлопок - 66%. Полиамид - 29%. Эластан - 5%";;Италия;S;83-60-89;177;"145 см";;лето;синий;полоска;"на молнии";;;;;;;;;;;
