Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;"Состав ";"Материал подкладки";"Страна производства ";"Доступные размеры";"Параметры модели";"Рост модели на фото ";Длина;"Длина рукава";Сезон;Цвет;Узор;Застежка;"Детали одежды";Технологии;"Вид спорта";Высота;"Длина по внутреннему шву";"Длина по боковому шву";"Обхват по талии";"Обхват по бедрам";"Ширина по низу";Посадка;Талия
"Мужчинам/Рубашки/Джинсовые рубашки ";"Рубашка джинсовая - DAVID83 Mango Man";94.99;rubashka-dzhinsovaya-mango-man;1;;Mango;;;;;"Рубашка джинсовая - DAVID83 Mango Man";"Блуза EASTERN2 Mango, Mango, Блузы ";"Рубашка Ted Baker London выполнена из легкого хлопкового текстиля. Модель прямого кроя. Особенности: застежка на пуговицы, отложной воротник, манжеты на пуговицах.";"<p><span>Рубашка Ted Baker London выполнена из легкого хлопкового текстиля. Модель прямого кроя. Особенности: застежка на пуговицы, отложной воротник, манжеты на пуговицах.</span></p>";"<p><span>Рубашка Ted Baker London выполнена из легкого хлопкового текстиля. Модель прямого кроя. Особенности: застежка на пуговицы, отложной воротник, манжеты на пуговицах.</span></p>";"HE002EMPXM27_4282171_1_v1.jpg, HE002EMPXM27_4282172_6_v1 (1).jpg, HE002EMPXM27_4282173_7_v1.jpg";"Хлопок - 97%. Эластан - 3%";;Китай;S;100-80-95;189;"80 см";"68 см";мульти;синий;однотонный;"на пуговицах";"Тип силуэта прямой";;;;;;;;;;
"Мужчинам/Рубашки/C коротким рукавом ";"Рубашка Tommy Hilfiger ";94.99;man-rubrubashka-tommy-hilfiger-;1;;"Tommy Hilfiger";;;;;"Рубашка Tommy Hilfiger ";"Блуза EASTERN2 Mango, Mango, Блузы ";"Рубашка Ted Baker London выполнена из легкого хлопкового текстиля. Модель прямого кроя. Особенности: застежка на пуговицы, отложной воротник, манжеты на пуговицах.";"<p><span>Рубашка Ted Baker London выполнена из легкого хлопкового текстиля. Модель прямого кроя. Особенности: застежка на пуговицы, отложной воротник, манжеты на пуговицах.</span></p>";"<p><span>Рубашка Ted Baker London выполнена из легкого хлопкового текстиля. Модель прямого кроя. Особенности: застежка на пуговицы, отложной воротник, манжеты на пуговицах.</span></p>";"TO013EMQFM61_4337292_1_v2.jpg, TO013EMQFM61_4350031_6_v1.jpg, TO013EMQFM61_4350033_8_v1.jpg";"Хлопок - 97%. Эластан - 3%";;Китай;S;100-80-95;189;"80 см";"68 см";мульти;белый;геометрия;"на пуговицах";"Тип силуэта прямой";;;;;;;;;;
"Мужчинам/Рубашки/Джинсовые рубашки ";"Рубашка джинсовая - DAVID83 Mango Man";94.99;rubashka-dzhinsovaya---david83-mango-man;1;;Mango;;;;;"Рубашка джинсовая - DAVID83 Mango Man";"Блуза EASTERN2 Mango, Mango, Блузы ";"Рубашка Ted Baker London выполнена из легкого хлопкового текстиля. Модель прямого кроя. Особенности: застежка на пуговицы, отложной воротник, манжеты на пуговицах.";"<p><span>Рубашка Ted Baker London выполнена из легкого хлопкового текстиля. Модель прямого кроя. Особенности: застежка на пуговицы, отложной воротник, манжеты на пуговицах.</span></p>";"<p><span>Рубашка Ted Baker London выполнена из легкого хлопкового текстиля. Модель прямого кроя. Особенности: застежка на пуговицы, отложной воротник, манжеты на пуговицах.</span></p>";"HE002EMPYC50_4282217_1_v1.jpg, HE002EMPYC50_4282218_6_v1.jpg, HE002EMPYC50_4282219_7_v1.jpg";"Хлопок - 97%. Эластан - 3%";;Китай;S;100-80-95;189;"80 см";"68 см";мульти;синий;однотонный;"на пуговицах";"Тип силуэта прямой";;;;;;;;;;
"Мужчинам/Рубашки/C длинным рукавом";"Рубашка Ted Baker London";74.99;rubashka-ted-baker-london-maan;1;1;"Ted Baker London ";;;;;"Рубашка Ted Baker London";"Блуза EASTERN2 Mango, Mango, Блузы ";"Рубашка Ted Baker London выполнена из легкого хлопкового текстиля. Модель прямого кроя. Особенности: застежка на пуговицы, отложной воротник, манжеты на пуговицах.";"<p><span>Рубашка Ted Baker London выполнена из легкого хлопкового текстиля. Модель прямого кроя. Особенности: застежка на пуговицы, отложной воротник, манжеты на пуговицах.</span></p>";"<p><span>Рубашка Ted Baker London выполнена из легкого хлопкового текстиля. Модель прямого кроя. Особенности: застежка на пуговицы, отложной воротник, манжеты на пуговицах.</span></p>";"TE019EMPAG00_4208963_1_v2.jpg, TE019EMPAG00_4210444_6_v1.jpg, TE019EMPAG00_4210445_7_v1 (1).jpg, TE019EMPAG00_4210445_7_v1.jpg";"Хлопок - 97%. Эластан - 3%";;Китай;S;100-80-95;189;"80 см";"68 см";мульти;синий;геометрия;"на пуговицах";"Тип силуэта прямой";;;;;;;;;;
"Мужчинам/Рубашки/C длинным рукавом";"Рубашка Tommy Hilfiger";74.99;rubashka-tommy-hilfiger-man-;1;;"Tommy Hilfiger";;;;;"Рубашка Tommy Hilfiger";"Блуза EASTERN2 Mango, Mango, Блузы ";"Рубашка Tommy Hilfiger выполнена из хлопкового текстиля. Детали: отложной воротник, застежка на пуговицы, манжеты на пуговицах.";"<p><span>Рубашка Tommy Hilfiger выполнена из хлопкового текстиля. Детали: отложной воротник, застежка на пуговицы, манжеты на пуговицах.</span></p>";"<p><span>Рубашка Tommy Hilfiger выполнена из хлопкового текстиля. Детали: отложной воротник, застежка на пуговицы, манжеты на пуговицах.</span></p>";"TO263EMQGD41_4476488_1_v2.jpg, TO263EMQGD41_4499130_6_v1.jpg, TO263EMQGD41_4499131_7_v1.jpg, TO263EMQGD41_4499132_8_v1.jpg";"Хлопок - 97%. Эластан - 3%";;Китай;S;100-80-95;189;"80 см";"68 см";мульти;голубой;"рисунки и надписи";"на пуговицах";"Тип силуэта прямой";;;;;;;;;;
"Мужчинам/Рубашки/C длинным рукавом";"Рубашка Ted Baker London";314.00;rubashka-ted-baker-london;1;;"Ted Baker London ";;;;;"Рубашка Ted Baker London";"Блуза EASTERN2 Mango, Mango, Блузы ";"Рубашка Tommy Hilfiger выполнена из хлопкового текстиля. Детали: отложной воротник, застежка на пуговицы, манжеты на пуговицах.";"<p><span>Рубашка Tommy Hilfiger выполнена из хлопкового текстиля. Детали: отложной воротник, застежка на пуговицы, манжеты на пуговицах.</span></p>";"<p><span>Рубашка Tommy Hilfiger выполнена из хлопкового текстиля. Детали: отложной воротник, застежка на пуговицы, манжеты на пуговицах.</span></p>";"TE019EMPAF99_4208962_1_v2.jpg, TE019EMPAF99_4210441_6_v1.jpg, TE019EMPAF99_4210442_7_v1.jpg, TE019EMPAF99_4210443_8_v1.jpg";"Хлопок - 97%. Эластан - 3%";;Китай;S;100-80-95;189;"80 см";"68 см";мульти;белый;"рисунки и надписи";"на пуговицах";"Тип силуэта прямой";;;;;;;;;;
"Мужчинам/Рубашки/C коротким рукавом ";"Рубашка Tommy Hilfiger ";251.00;rubashka-tommy-hilfiger-man-rub;1;;"Tommy Hilfiger";;;;;"Рубашка Tommy Hilfiger ";"Блуза EASTERN2 Mango, Mango, Блузы ";"Рубашка Tommy Hilfiger выполнена из хлопкового текстиля. Детали: отложной воротник, застежка на пуговицы, манжеты на пуговицах.";"<p><span>Рубашка Tommy Hilfiger выполнена из хлопкового текстиля. Детали: отложной воротник, застежка на пуговицы, манжеты на пуговицах.</span></p>";"<p><span>Рубашка Tommy Hilfiger выполнена из хлопкового текстиля. Детали: отложной воротник, застежка на пуговицы, манжеты на пуговицах.</span></p>";"TO013EMQFM60_4337291_1_v2.jpg, TO013EMQFM60_4350028_6_v1.jpg, TO013EMQFM60_4350030_8_v1.jpg";"Хлопок - 97%. Эластан - 3%";;Китай;S;100-80-95;189;"80 см";"68 см";мульти;синий;однотонный;"на пуговицах";"Тип силуэта прямой";;;;;;;;;;
"Мужчинам/Рубашки/Джинсовые рубашки ";"Рубашка джинсовая Tommy Hilfiger";251.00;dzhinsovaya-tommy-hilfiger;1;;"Tommy Hilfiger";;;;;"Рубашка джинсовая Tommy Hilfiger";"Блуза EASTERN2 Mango, Mango, Блузы ";"Рубашка Tommy Hilfiger выполнена из хлопкового текстиля. Детали: отложной воротник, застежка на пуговицы, манжеты на пуговицах.";"<p><span>Рубашка Tommy Hilfiger выполнена из хлопкового текстиля. Детали: отложной воротник, застежка на пуговицы, манжеты на пуговицах.</span></p>";"<p><span>Рубашка Tommy Hilfiger выполнена из хлопкового текстиля. Детали: отложной воротник, застежка на пуговицы, манжеты на пуговицах.</span></p>";"TO013EMQFM95_4662165_1_v2.jpg, TO013EMQFM95_4670270_6_v1.jpg, TO013EMQFM95_4670271_7_v1.jpg, TO013EMQFM95_4670272_8_v1.jpg";"Хлопок - 97%. Эластан - 3%";;Китай;S;100-80-95;189;"80 см";"68 см";мульти;голубой;однотонный;"на пуговицах";"Тип силуэта прямой";;;;;;;;;;
"Мужчинам/Рубашки/C длинным рукавом";"Рубашка Tommy Hilfiger";74.99;rubashka-tommy-hilfiger-man;1;;"Tommy Hilfiger";;;;;"Рубашка Tommy Hilfiger";"Блуза EASTERN2 Mango, Mango, Блузы ";"Рубашка Tommy Hilfiger выполнена из хлопкового текстиля. Детали: отложной воротник, застежка на пуговицы, манжеты на пуговицах.";"<p><span>Рубашка Tommy Hilfiger выполнена из хлопкового текстиля. Детали: отложной воротник, застежка на пуговицы, манжеты на пуговицах.</span></p>";"<p><span>Рубашка Tommy Hilfiger выполнена из хлопкового текстиля. Детали: отложной воротник, застежка на пуговицы, манжеты на пуговицах.</span></p>";"TO263EMOCP92_4123117_1_v2.jpg, TO263EMOCP92_4127613_6_v1.jpg, TO263EMOCP92_4127614_7_v1.jpg, TO263EMOCP92_4127615_8_v1.jpg";"Хлопок - 97%. Эластан - 3%";;Китай;S;100-80-95;189;"80 см";"68 см";мульти;голубой;"рисунки и надписи";"на пуговицах";"Тип силуэта прямой";;;;;;;;;;
"Женщинам/Блузы и рубашки/Джинсовые рубашки";"Рубашка джинсовая Pinko  ";45.90;rubashka-dzhinsovaya-pinko-;1;;"Pinko ";;;;;"Рубашка джинсовая Pinko  ";"Блуза EASTERN2 Mango, Mango, Блузы ";"Джинсовая рубашка Pinko выполнена из хлопкового денима. Модель прямого силуэта. Особенности: отложной воротник, рукава 3/4, застежка и манжеты на кнопках, два нагрудных кармана.";"<p><span>Джинсовая рубашка Pinko выполнена из хлопкового денима. Модель прямого силуэта. Особенности: отложной воротник, рукава 3/4, застежка и манжеты на кнопках, два нагрудных кармана.</span></p>";"<p><span>Джинсовая рубашка Pinko выполнена из хлопкового денима. Модель прямого силуэта. Особенности: отложной воротник, рукава 3/4, застежка и манжеты на кнопках, два нагрудных кармана.</span></p>";"OO001EWQYR58_4362388_1_v2.jpg, OO001EWQYR58_4365962_6_v1.jpg, OO001EWQYR58_4365963_7_v1.jpg, OO001EWQYR58_4365964_8_v1.jpg";"Хлопок - 100%";;Китай;S;83-60-89;178;"61 см";"60 см";мульти;голубой;цветочный;"на кнопках";"Тип силуэта прямой";;;;;;;;;;
"Женщинам/Блузы и рубашки/Блузы ";"Блуза EASTERN2 Mango ";94.99;bluza-eastern2-mango-;1;;Mango;;;;;"Блуза EASTERN2 Mango ";"Блуза EASTERN2 Mango , Mango, Блузы ";"Зап&aacute;х. Цветочный принт. Декоративные воланы. Круглый вырез горловины. Рукава три четверти.";"<p>Зап&aacute;х. Цветочный принт. Декоративные воланы. Круглый вырез горловины. Рукава три четверти.</p>";"<p>Зап&aacute;х. Цветочный принт. Декоративные воланы. Круглый вырез горловины. Рукава три четверти.</p>";"MA002EWRTO10_4587300_1_v1.jpg, MA002EWRTO10_4587301_6_v1.jpg, MA002EWRTO10_4587302_7_v1.jpg";"Полиэстер - 100%";;Румыния;S;;;"58 см";;мульти;черный;цветочный;"на пуговицах";рюши/воланы;;;;;;;;;;
"Женщинам/Блузы и рубашки/Рубашки ";"Рубашка oodji";18.90;rubashka-red-oodji;1;;Mango;;;;;"Рубашка oodji";"Блуза oodji, Mango, Блузы ";"Блуза oodji выполнена из тонкого текстиля. Модель прямого кроя с ярким геометрическим узором. Детали: круглый вырез с вертикальным разрезом, длинные рукава, удлиненная спинка.";"<p><span>Блуза oodji выполнена из тонкого текстиля. Модель прямого кроя с ярким геометрическим узором. Детали: круглый вырез с вертикальным разрезом, длинные рукава, удлиненная спинка.</span></p>";"<p><span>Блуза oodji выполнена из тонкого текстиля. Модель прямого кроя с ярким геометрическим узором. Детали: круглый вырез с вертикальным разрезом, длинные рукава, удлиненная спинка.</span></p>";"OO001EWKSB33_1_v2.jpg, OO001EWKSB33_6_v1.jpg, OO001EWKSB33_7_v1.jpg, OO001EWKSB33_8_v1.jpg";"Хлопок - 100%";;Бангладеш;S;84-62-90;176;"63 см";"12 см";мульти;бордовый;клетка;"без застежки";"Тип силуэта приталенный";;;;;;;;;;
"Женщинам/Блузы и рубашки/Джинсовые рубашки";"Рубашка джинсовая Tommy Hilfiger Denim";314.00;rubashka-dzhinsovaya-tommy-hilfiger-denim;1;;"Tommy Hilfiger";;;;;"Рубашка джинсовая Tommy Hilfiger Denim";"Блуза oodji, Mango, Блузы ";"Рубашка джинсовая Tommy Hilfiger Denim выполнена из хлопкового денима. Модель прямого кроя. Детали: отложной воротник, планка и манжеты с застежкой на кнопки, два нагрудных кармана.";"<p><span>Рубашка джинсовая Tommy Hilfiger Denim выполнена из хлопкового денима. Модель прямого кроя. Детали: отложной воротник, планка и манжеты с застежкой на кнопки, два нагрудных кармана.</span></p>";"<p><span>Рубашка джинсовая Tommy Hilfiger Denim выполнена из хлопкового денима. Модель прямого кроя. Детали: отложной воротник, планка и манжеты с застежкой на кнопки, два нагрудных кармана.</span></p>";"TO013EWPRG28_4664063_1_v2.jpg, TO013EWPRG28_4670282_6_v1.jpg, TO013EWPRG28_4670283_7_v1.jpg, TO013EWPRG28_4670284_8_v1.jpg";"Хлопок - 100%";;Китай;S;82-59-89;176;"70 см";"63 см";мульти;синий;однотонный;"на кнопках";рюши/воланы;;;;;;;;;;
"Женщинам/Блузы и рубашки/Блузы ";"Блуза oodji";18.90;bluza-bl-oodji;1;;Mango;;;;;"Блуза oodji";"Блуза oodji, Mango, Блузы ";"Блуза oodji выполнена из тонкого текстиля. Модель прямого кроя с ярким геометрическим узором. Детали: круглый вырез с вертикальным разрезом, длинные рукава, удлиненная спинка.";"<p><span>Блуза oodji выполнена из тонкого текстиля. Модель прямого кроя с ярким геометрическим узором. Детали: круглый вырез с вертикальным разрезом, длинные рукава, удлиненная спинка.</span></p>";"<p><span>Блуза oodji выполнена из тонкого текстиля. Модель прямого кроя с ярким геометрическим узором. Детали: круглый вырез с вертикальным разрезом, длинные рукава, удлиненная спинка.</span></p>";"OO001EWNXJ60_4047386_1_v2.jpg, OO001EWNXJ60_4051542_6_v1.jpg, OO001EWNXJ60_4051544_8_v1.jpg, OO001EWNXJ60_4051543_7_v1.jpg";"Полиэстер - 100%";;Китай;S;82-59-89;176;"63 см";"58 см";мульти;мультиколор;геометрия;"без застежки";рюши/воланы;;;;;;;;;;
"Женщинам/Блузы и рубашки/Рубашки ";"Рубашка oodji ";25.90;rubashka-oodji-;1;;"oodji ";;;;;"Рубашка oodji ";"Блуза oodji, Love Republic, Блузы ";"Рубашка приталенного кроя oodji. Модель выполнена из хлопкового текстиля. Детали: отложной воротник, планка и манжеты на пуговицах, карман на груди.";"<p><span>Рубашка приталенного кроя oodji. Модель выполнена из хлопкового текстиля. Детали: отложной воротник, планка и манжеты на пуговицах, карман на груди.</span></p>";"<p><span>Рубашка приталенного кроя oodji. Модель выполнена из хлопкового текстиля. Детали: отложной воротник, планка и манжеты на пуговицах, карман на груди.</span></p>";"OO001EWKFX41_1_v2 (1).jpg, OO001EWKFX41_1_v2.jpg, OO001EWKFX41_6_v1.jpg, OO001EWKFX41_8_v1.jpg";"Хлопок - 100%";;Китай;M;84-61-91;180;"66 см";"62 см";мульти;бордовый;другое;"на пуговицах";"Тип силуэта приталенный";;;;;;;;;;
"Мужчинам/Рубашки/C коротким рукавом ";"Рубашка Tommy Hilfiger";249.00;rubashka-tommy-hilfiger--man-rub;1;;"Tommy Hilfiger";;;;;"Рубашка Tommy Hilfiger";"Блуза oodji, Love Republic, Блузы ";"Рубашка приталенного кроя oodji. Модель выполнена из хлопкового текстиля. Детали: отложной воротник, планка и манжеты на пуговицах, карман на груди.";"<p><span>Рубашка приталенного кроя oodji. Модель выполнена из хлопкового текстиля. Детали: отложной воротник, планка и манжеты на пуговицах, карман на груди.</span></p>";"<p><span>Рубашка приталенного кроя oodji. Модель выполнена из хлопкового текстиля. Детали: отложной воротник, планка и манжеты на пуговицах, карман на груди.</span></p>";"TO263EMQGD72_4476501_1_v2.jpg, TO263EMQGD72_4499136_6_v1.jpg, TO263EMQGD72_4499137_7_v1.jpg, TO263EMQGD72_4499138_8_v1.jpg";"Хлопок - 100%";;Китай;M;84-61-91;180;"66 см";"62 см";мульти;голубой;однотонный;"на пуговицах";"Тип силуэта приталенный";;;;;;;;;;
"Мужчинам/Рубашки/Джинсовые рубашки ";"Рубашка джинсовая Tommy Hilfiger Denim";349.00;rubashka-hilfiger-denim;1;;"Tommy Hilfiger";;;;;"Рубашка джинсовая Tommy Hilfiger Denim";"Блуза oodji, Love Republic, Блузы ";"Рубашка приталенного кроя oodji. Модель выполнена из хлопкового текстиля. Детали: отложной воротник, планка и манжеты на пуговицах, карман на груди.";"<p><span>Рубашка приталенного кроя oodji. Модель выполнена из хлопкового текстиля. Детали: отложной воротник, планка и манжеты на пуговицах, карман на груди.</span></p>";"<p><span>Рубашка приталенного кроя oodji. Модель выполнена из хлопкового текстиля. Детали: отложной воротник, планка и манжеты на пуговицах, карман на груди.</span></p>";"TO013EMNSJ76_4124379_1_v1.jpg, TO013EMNSJ76_4124380_6_v1.jpg, TO013EMNSJ76_4124381_7_v1.jpg, TO013EMNSJ76_4124382_8_v1.jpg";"Хлопок - 100%";;Китай;M;84-61-91;180;"66 см";"62 см";мульти;синий;однотонный;"на пуговицах";"Тип силуэта приталенный";;;;;;;;;;
"Мужчинам/Рубашки/C длинным рукавом";"Рубашка Tommy Hilfiger";349.00;rubashka-bluza-oodji;1;;"Tommy Hilfiger";;;;;"Рубашка Tommy Hilfiger";"Блуза oodji, Love Republic, Блузы ";"Рубашка приталенного кроя oodji. Модель выполнена из хлопкового текстиля. Детали: отложной воротник, планка и манжеты на пуговицах, карман на груди.";"<p><span>Рубашка приталенного кроя oodji. Модель выполнена из хлопкового текстиля. Детали: отложной воротник, планка и манжеты на пуговицах, карман на груди.</span></p>";"<p><span>Рубашка приталенного кроя oodji. Модель выполнена из хлопкового текстиля. Детали: отложной воротник, планка и манжеты на пуговицах, карман на груди.</span></p>";"TO263EMJCX82_1_v2.jpg, TO263EMJCX82_6_v1.jpg, TO263EMJCX82_8_v1.jpg, TO263EMJCX82_7_v1.jpg";"Хлопок - 100%";;Китай;M;84-61-91;180;"66 см";"62 см";мульти;серый;другое;"на пуговицах";"Тип силуэта приталенный";;;;;;;;;;
"Женщинам/Блузы и рубашки/Джинсовые рубашки";"Рубашка джинсовая oodji";35.90;rubashka-dzhinsovaya-oodji;1;;"oodji ";;;;;"Рубашка джинсовая oodji";"Блуза oodji, Love Republic, Блузы ";"Рубашка oodji выполнена из хлопковой ткани с цветочным узором. Детали: отложной воротник, планка и манжеты на кнопках.";"<p><span>Рубашка oodji выполнена из хлопковой ткани с цветочным узором. Детали: отложной воротник, планка и манжеты на кнопках.</span></p>";"<p><span>Рубашка oodji выполнена из хлопковой ткани с цветочным узором. Детали: отложной воротник, планка и манжеты на кнопках.</span></p>";"OO001EWQYR59_4362389_1_v2.jpg, OO001EWQYR59_4365965_6_v1.jpg, OO001EWQYR59_4365966_7_v1.jpg, OO001EWQYR59_4365967_8_v1.jpg";"Хлопок - 100%";;Китай;M;83-60-89;177;"61 см";"60 см";мульти;синий;однотонный;"на кнопках";"Тип силуэта прямой";;;;;;;;;;
"Женщинам/Блузы и рубашки/Рубашки ";"Рубашка Only";76.00;rubashka-only;1;;Only;;;;;"Рубашка Only";"Блуза Love Republic , Love Republic, Блузы ";"Рубашка Only выполнена из вискозного текстиля. Детали: отложной воротник, планка и манжеты на пуговицах.";"<p><span>Рубашка Only выполнена из вискозного текстиля. Детали: отложной воротник, планка и манжеты на пуговицах.</span></p>";"<p><span>Рубашка Only выполнена из вискозного текстиля. Детали: отложной воротник, планка и манжеты на пуговицах.</span></p>";"ON380EWODQ96_4698767_1_v2.jpg, ON380EWODQ96_4707256_6_v1.jpg, ON380EWODQ96_4707257_7_v1.jpg, ON380EWODQ96_4707258_8_v1.jpg";"Вискоза - 100%";;Камбоджа;M;84-61-91;176;"55 см";"17 см";мульти;белый;"рисунки и надписи";"на пуговицах";"Тип силуэта прямой";;;;;;;;;;
"Женщинам/Блузы и рубашки/Джинсовые рубашки";"Рубашка джинсовая ECRU LOST INK";94.00;rubashka-dzhinsovaya-ecru-lost-ink;1;;"LOST INK";;;;;"Рубашка джинсовая ECRU LOST INK";"Блуза Love Republic , Love Republic, Блузы ";"Рубашка джинсовая LOST INK прямого кроя. Модель выполнена из легкого хлопкового материала. Детали: отложной воротник, застежка на пуговицах, вышивка, два внешних кармана, бахрома.";"<p><span>Рубашка джинсовая LOST INK прямого кроя. Модель выполнена из легкого хлопкового материала. Детали: отложной воротник, застежка на пуговицах, вышивка, два внешних кармана, бахрома.</span></p>";"<p><span>Рубашка джинсовая LOST INK прямого кроя. Модель выполнена из легкого хлопкового материала. Детали: отложной воротник, застежка на пуговицах, вышивка, два внешних кармана, бахрома.</span></p>";"LO019EWQLE50_4317538_1_v2.jpg, LO019EWQLE50_4335460_7_v1.jpg, LO019EWQLE50_4335461_8_v1.jpg";"Хлопок - 100%";;Китай;M;86-60-88;176;"46 см";"58 см";"демисезон. лето";белый;однотонный;"на пуговицах";вышивка;;;;;;;;;;
"Женщинам/Блузы и рубашки/Блузы ";"Блуза Love Republic ";90.00;bluza-love-republic-;1;;"Love Republic ";;;;;"Блуза Love Republic ";"Блуза Love Republic , Love Republic, Блузы ";"Блуза Love Republic выполнена из гладкого текстиля. Детали: прямой крой, застежка на крючок сзади, круглый вырез, короткие рукава-воланы.";"<p>Блуза Love Republic выполнена из гладкого текстиля. Детали: прямой крой, застежка на крючок сзади, круглый вырез, короткие рукава-воланы.</p>";"<p>Блуза Love Republic выполнена из гладкого текстиля. Детали: прямой крой, застежка на крючок сзади, круглый вырез, короткие рукава-воланы.</p>";"LO022EWSAU89_4715376_1_v3.jpg, LO022EWSAU89_4720534_6_v1.jpg, LO022EWSAU89_4720535_7_v1.jpg, LO022EWSAU89_4720536_8_v1.jpg";"Полиэстер - 100%";;Китай;M;84-61-91;176;"55 см";"17 см";мульти;бежевый;однотонный;"на молнии";;;;;;;;;;;
"Женщинам/Блузы и рубашки/Рубашки ";"Рубашка oodji ";55.00;rubashka-oodji-gray;1;;"oodji ";;;;;"Рубашка oodji ";"Блуза Love Republic, Love Republic, Блузы ";"Блуза выполнена из гладкого текстиля. Детали: прямой крой, застежка на крючок сзади, круглый вырез, короткие рукава-воланы.";"<p>Блуза выполнена из гладкого текстиля. Детали: прямой крой, застежка на крючок сзади, круглый вырез, короткие рукава-воланы.</p>";"<p>Блуза выполнена из гладкого текстиля. Детали: прямой крой, застежка на крючок сзади, круглый вырез, короткие рукава-воланы.</p>";"OO001EWLOH63_1_v1.jpg, OO001EWLOH63_6_v1.jpg, OO001EWLOH63_7_v1.jpg, OO001EWLOH63_8_v1.jpg";"Хлопок - 97%. Эластан - 3%";;Китай;M;84-61-91;176;"66 см";"61 см";мульти;мультиколор;другое;"на пуговицах";"Тип силуэта оверсайз";;;;;;;;;;
"Мужчинам/Рубашки/C длинным рукавом";"Рубашка Diesel";349.00;rubashka-diesel-man;1;;Diesel;;;;;"Рубашка Diesel";"Блуза Love Republic, Love Republic, Блузы ";"Рубашка Diesel выполнена из хлопкового текстиля в клетку. Детали: прямой крой, отложной воротник, планка и манжеты на пуговицах, нагрудный карман, бахрома по низу";"<p><span>Рубашка Diesel выполнена из хлопкового текстиля в клетку. Детали: прямой крой, отложной воротник, планка и манжеты на пуговицах, нагрудный карман, бахрома по низу</span></p>";"<p><span>Рубашка Diesel выполнена из хлопкового текстиля в клетку. Детали: прямой крой, отложной воротник, планка и манжеты на пуговицах, нагрудный карман, бахрома по низу</span></p>";"DI303EMRXT70_4607554_1_v2.jpg, DI303EMRXT70_4614860_6_v1.jpg, DI303EMRXT70_4614861_7_v1.jpg, DI303EMRXT70_4614862_8_v1.jpg";"Хлопок - 97%. Эластан - 3%";;Китай;M;100-80-95;189;"77 см";"68 см";мульти;черно-белый;клетка;"на пуговицах";"Тип силуэта прямой";;;;;;;;;;
"Мужчинам/Рубашки/C коротким рукавом ";"Рубашка Joop!";440.00;rubashka-rubashka-joop-man-rub;1;1;Joop!;;;;;"Рубашка Joop!";"Блуза Love Republic, Love Republic, Блузы ";"Рубашка Joop выполнена из хлопкового текстиля. Модель приталенного фасона. Детали: отложной воротник, планка на пуговицах, один карман спереди.";"<p><span>Рубашка Joop выполнена из хлопкового текстиля. Модель приталенного фасона. Детали: отложной воротник, планка на пуговицах, один карман спереди.</span></p>";"<p><span>Рубашка Joop выполнена из хлопкового текстиля. Модель приталенного фасона. Детали: отложной воротник, планка на пуговицах, один карман спереди.</span></p>";"JO006EMRAN45_4689211_1_v2.jpg, JO006EMRAN45_4703705_6_v1.jpg, JO006EMRAN45_4703706_7_v1.jpg, JO006EMRAN45_4703707_8_v1.jpg";"Хлопок - 97%. Эластан - 3%";;Китай;M;100-80-95;189;"77 см";"68 см";мульти;синий;цветочный;"на пуговицах";"Тип силуэта прямой";;;;;;;;;;
"Мужчинам/Рубашки/Джинсовые рубашки ";"Рубашка джинсовая Diesel";440.00;rubashka-dzhinsovaya-diesel-4400;1;;Diesel;;;;;"Рубашка джинсовая Diesel";"Блуза Love Republic, Love Republic, Блузы ";"Джинсовая рубашка Diesel выполнена из хлопкового текстиля со льном. Детали: прямой крой, застежка на пуговицы, накладной карман.";"<p><span>Джинсовая рубашка Diesel выполнена из хлопкового текстиля со льном. Детали: прямой крой, застежка на пуговицы, накладной карман.</span></p>";"<p><span>Джинсовая рубашка Diesel выполнена из хлопкового текстиля со льном. Детали: прямой крой, застежка на пуговицы, накладной карман.</span></p>";"DI303EMRXT62_4607547_1_v2.jpg, DI303EMRXT62_4621312_6_v1.jpg, DI303EMRXT62_4621313_7_v1.jpg, DI303EMRXT62_4621314_8_v1.jpg";"Хлопок - 97%. Эластан - 3%";;Китай;M;100-80-95;189;"77 см";"68 см";мульти;голубой;цветочный;"на пуговицах";"Тип силуэта прямой";;;;;;;;;;
"Мужчинам/Рубашки/C коротким рукавом ";"Рубашка Diesel";279.00;rubashka-diesel-man-rub-kletka;1;;Diesel;;349.00;;;"Рубашка Diesel";"Блуза Love Republic, Love Republic, Блузы ";"Рубашка Diesel выполнена из легкого хлопкового денима. Детали: отложной воротник, планка и манжеты на кнопках, два кармана с клапанами на кнопках.";"<p><span>Рубашка Diesel выполнена из легкого хлопкового денима. Детали: отложной воротник, планка и манжеты на кнопках, два кармана с клапанами на кнопках.</span></p>";"<p><span>Рубашка Diesel выполнена из легкого хлопкового денима. Детали: отложной воротник, планка и манжеты на кнопках, два кармана с клапанами на кнопках.</span></p>";"DI303EMRXW59_4607568_1_v2.jpg, DI303EMRXW59_4621330_6_v1.jpg, DI303EMRXW59_4621331_7_v1.jpg, DI303EMRXW59_4621332_8_v1.jpg";"Хлопок - 97%. Эластан - 3%";;Китай;M;100-80-95;189;"77 см";"68 см";мульти;синий;клетка;"на пуговицах";"Тип силуэта прямой";;;;;;;;;;
